Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Endometrial cancer,3/58,2.7373946837215917e-06,0.0001356770620433899,0,0,155.33766233766235,1989.6430593462835,PTEN;TP53;EGFR
KEGG_2021_Human,Central carbon metabolism in cancer,3/70,4.841001830223267e-06,0.0001356770620433899,0,0,127.43923240938166,1559.650883385183,PTEN;TP53;EGFR
KEGG_2021_Human,Melanoma,3/72,5.271571489605828e-06,0.0001356770620433899,0,0,123.73291925465838,1503.7486925982037,PTEN;TP53;EGFR
KEGG_2021_Human,Glioma,3/75,5.96382690300615e-06,0.0001356770620433899,0,0,118.5595238095238,1426.2471443529512,PTEN;TP53;EGFR
KEGG_2021_Human,Prostate cancer,3/97,1.294690780331064e-05,0.00023563372202025363,0,0,90.7112462006079,1020.9236516163533,PTEN;TP53;EGFR
KEGG_2021_Human,Breast cancer,3/147,4.494963951602156e-05,0.000681736199326327,0,0,59.06547619047619,591.2435157473622,PTEN;TP53;EGFR
KEGG_2021_Human,Hepatocellular carcinoma,3/168,6.689912951143781e-05,0.0008696886836486916,0,0,51.493506493506494,494.9722993469237,PTEN;TP53;EGFR
KEGG_2021_Human,Bladder cancer,2/41,0.0001825931686229406,0.0020769972930859,0,0,127.89102564102564,1100.9179217565816,TP53;EGFR
KEGG_2021_Human,MAPK signaling pathway,3/294,0.0003495013996227882,0.0035338474850748,0,0,29.01178203240059,230.9048599891265,NF1;TP53;EGFR
KEGG_2021_Human,MicroRNAs in cancer,3/310,0.00040821203017201287,0.0037147294745653,0,0,27.47743136342485,214.4262861035245,PTEN;TP53;EGFR
KEGG_2021_Human,Human papillomavirus infection,3/331,0.0004944719806289305,0.0038142962026762,0,0,25.69076655052265,195.55863060991177,PTEN;TP53;EGFR
KEGG_2021_Human,Non-small cell lung cancer,2/72,0.0005644733393963211,0.0038142962026762,0,0,71.14285714285714,532.1213524698264,TP53;EGFR
KEGG_2021_Human,p53 signaling pathway,2/73,0.0005802192831152235,0.0038142962026762,0,0,70.13732394366197,522.670663979618,PTEN;TP53
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.0006015648820842463,0.0038142962026762,0,0,23.97924297924298,177.8294942983491,PTEN;TP53;EGFR
KEGG_2021_Human,Pancreatic cancer,2/76,0.000628730143298291,0.0038142962026762,0,0,67.28378378378379,496.00316371132106,TP53;EGFR
KEGG_2021_Human,Colorectal cancer,2/86,0.000804171683586709,0.0044040629989964,0,0,59.24404761904762,422.1551782881061,TP53;EGFR
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/89,0.000860907796340742,0.0044040629989964,0,0,57.19252873563219,403.6375954618875,PTEN;EGFR
KEGG_2021_Human,Hypertrophic cardiomyopathy,2/90,0.0008802391137269697,0.0044040629989964,0,0,56.53977272727273,397.7752223930347,RYR2;TTN
KEGG_2021_Human,Small cell lung cancer,2/92,0.0009195296371531132,0.0044040629989964,0,0,55.27777777777778,386.4827800673363,PTEN;TP53
KEGG_2021_Human,Dilated cardiomyopathy,2/96,0.0010006174330829,0.0045528093205276,0,0,52.91489361702128,365.49047439590856,RYR2;TTN
KEGG_2021_Human,Sphingolipid signaling pathway,2/119,0.0015312212856459,0.0066352922377992,0,0,42.46367521367522,275.23636354227165,PTEN;TP53
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0018511149998335,0.0076568847720388,0,0,38.49031007751938,242.1797654013784,PTEN;EGFR
KEGG_2021_Human,Pathways in cancer,3/531,0.0019427199963514,0.0076864138986077,0,0,15.79707792207792,98.63168192158714,PTEN;TP53;EGFR
KEGG_2021_Human,Gastric cancer,2/149,0.002385509588893,0.0089106229706959,0,0,33.74659863945578,203.77352124587756,TP53;EGFR
KEGG_2021_Human,Oxytocin signaling pathway,2/154,0.0025454581928163,0.0089106229706959,0,0,32.62828947368421,194.90327984814536,RYR2;EGFR
KEGG_2021_Human,Cellular senescence,2/156,0.0026108286046537,0.0089106229706959,0,0,32.201298701298704,191.53614663562257,PTEN;TP53
KEGG_2021_Human,Hepatitis C,2/157,0.0026438112110856,0.0089106229706959,0,0,31.991935483870968,189.88921318610832,TP53;EGFR
KEGG_2021_Human,Focal adhesion,2/201,0.0042887731676215,0.0135190936530297,0,0,24.86306532663317,135.54732981615194,PTEN;EGFR
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.0043724275862743,0.0135190936530297,0,0,24.61318407960199,133.70956972525602,RYR2;PTEN
KEGG_2021_Human,Proteoglycans in cancer,2/205,0.0044568440614383,0.0135190936530297,0,0,24.36822660098522,131.91287130282834,TP53;EGFR
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0050689885301914,0.0148799340724974,0,0,22.77995391705069,120.3832629846112,PTEN;TP53
KEGG_2021_Human,Human cytomegalovirus infection,2/225,0.0053426381376369,0.0151931272039049,0,0,22.16031390134529,115.9435537816646,TP53;EGFR
KEGG_2021_Human,Ras signaling pathway,2/232,0.0056704010689071,0.0156365605233499,0,0,21.47826086956522,111.09620615967964,NF1;EGFR
KEGG_2021_Human,Calcium signaling pathway,2/240,0.0060561357564169,0.0162090692304101,0,0,20.747899159663863,105.95295110838458,RYR2;EGFR
KEGG_2021_Human,Shigellosis,2/246,0.0063531939932655,0.0165183043824904,0,0,20.23155737704918,102.34735393301293,TP53;EGFR
KEGG_2021_Human,Thyroid cancer,1/37,0.0183506949831896,0.0463864789852849,0,0,61.58641975308642,246.2279153977221,TP53
KEGG_2021_Human,Ferroptosis,1/41,0.0203162941970357,0.0499671019440608,0,0,55.41666666666666,215.92173416578157,TP53
KEGG_2021_Human,Basal cell carcinoma,1/63,0.0310639188209322,0.0743899108606535,0,0,35.71326164874552,123.9860268803296,TP53
KEGG_2021_Human,Mitophagy,1/68,0.0334917127632155,0.0775625404999608,0,0,33.03980099502488,112.21827165973409,TP53
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,1/70,0.0344612964819566,0.0775625404999608,0,0,32.07890499194847,108.03913520130236,EGFR
KEGG_2021_Human,Adherens junction,1/71,0.0349457600054768,0.0775625404999608,0,0,31.61904761904762,106.04896194083372,EGFR
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.0359140308301434,0.0778137334653108,0,0,30.73765432098765,102.2527178173034,PTEN
KEGG_2021_Human,Chronic myeloid leukemia,1/76,0.0373647978046119,0.0782764420713444,0,0,29.503703703703703,96.97944863399395,TP53
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,1/77,0.0378479500125182,0.0782764420713444,0,0,29.114035087719294,95.32454660857232,RYR2
KEGG_2021_Human,ErbB signaling pathway,1/85,0.0417053180950637,0.0818018700987793,0,0,26.33068783068783,83.65592938917332,EGFR
KEGG_2021_Human,Insulin secretion,1/86,0.0421865092184754,0.0818018700987793,0,0,26.01960784313725,82.36909635390154,RYR2
KEGG_2021_Human,Cardiac muscle contraction,1/87,0.0426674828826635,0.0818018700987793,0,0,25.71576227390181,81.11569629500502,RYR2
KEGG_2021_Human,Gap junction,1/88,0.0431482391729825,0.0818018700987793,0,0,25.41890166028097,79.89449726957503,EGFR
KEGG_2021_Human,GnRH signaling pathway,1/93,0.0455487630468527,0.0839017648627114,0,0,24.031400966183572,74.2323201774775,EGFR
KEGG_2021_Human,Circadian entrainment,1/97,0.0474652783026245,0.0839017648627114,0,0,23.02546296296296,70.17601174086535,RYR2
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.0474652783026245,0.0839017648627114,0,0,23.02546296296296,70.17601174086535,PTEN
KEGG_2021_Human,Choline metabolism in cancer,1/98,0.047943865635835,0.0839017648627114,0,0,22.78694158075601,69.220448859451,EGFR
KEGG_2021_Human,Longevity regulating pathway,1/102,0.0498560516752303,0.0840166796749251,0,0,21.88008800880088,65.60996868685889,TP53
KEGG_2021_Human,Pancreatic secretion,1/102,0.0498560516752303,0.0840166796749251,0,0,21.88008800880088,65.60996868685889,RYR2
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.0517647805964337,0.0849238532046516,0,0,21.04232804232804,62.30728596638391,EGFR
KEGG_2021_Human,Insulin resistance,1/108,0.0527178503782264,0.0849238532046516,0,0,20.64693665628245,60.75982922373895,PTEN
KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.0531940618974191,0.0849238532046516,0,0,20.454732510288064,60.01026825392258,EGFR
KEGG_2021_Human,Neurotrophin signaling pathway,1/119,0.0579443409196367,0.090833144221491,0,0,18.71186440677966,53.29648635296648,TP53
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.0588918187809666,0.090833144221491,0,0,18.39814814814815,52.104532462734575,TP53
KEGG_2021_Human,Cell cycle,1/124,0.0603114275885761,0.0914723318426738,0,0,17.946702800361336,50.39853526607874,TP53
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.0626731600524217,0.0929035620648503,0,0,17.241319444444443,47.75538577401706,EGFR
KEGG_2021_Human,Apelin signaling pathway,1/137,0.0664408221450691,0.0929035620648503,0,0,16.220588235294116,43.98121048429159,RYR2
KEGG_2021_Human,Autophagy,1/137,0.0664408221450691,0.0929035620648503,0,0,16.220588235294116,43.98121048429159,PTEN
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.0664408221450691,0.0929035620648503,0,0,16.220588235294116,43.98121048429159,EGFR
KEGG_2021_Human,Measles,1/139,0.0673806054536277,0.0929035620648503,0,0,15.98389694041868,43.11493252457917,TP53
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.0673806054536277,0.0929035620648503,0,0,15.98389694041868,43.11493252457917,TP53
KEGG_2021_Human,Apoptosis,1/142,0.068788684027997,0.0934294066648914,0,0,15.641449960598896,41.86771974668722,TP53
KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.0715991027195359,0.0956610611123849,0,0,14.998488284202567,39.54610515433267,EGFR
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.072534211173127,0.0956610611123849,0,0,14.795674869500372,38.81936703082998,RYR2
KEGG_2021_Human,mTOR signaling pathway,1/154,0.0744018854995079,0.0959579297735795,0,0,14.405954974582423,37.43061817969281,PTEN
KEGG_2021_Human,Cushing syndrome,1/155,0.0748682748782873,0.0959579297735795,0,0,14.311688311688313,37.09625453392642,EGFR
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.0781270830081257,0.0973912952567046,0,0,13.684610075914424,34.88779821293247,EGFR
KEGG_2021_Human,Hepatitis B,1/162,0.0781270830081257,0.0973912952567046,0,0,13.684610075914424,34.88779821293247,TP53
KEGG_2021_Human,Wnt signaling pathway,1/166,0.0799846170711101,0.0983594615333922,0,0,13.35016835016835,33.721469913824805,TP53
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.0919767065184695,0.1106788914584567,0,0,11.517742873763815,27.48386752497333,TP53
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.0924351181411287,0.1106788914584567,0,0,11.457175925925926,27.282380766060548,TP53
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.0965514597102952,0.1131757575623895,0,0,10.939192924267552,25.572323233557647,TP53
KEGG_2021_Human,Viral carcinogenesis,1/203,0.0970077921963338,0.1131757575623895,0,0,10.884488448844884,25.39311940245665,TP53
KEGG_2021_Human,Rap1 signaling pathway,1/210,0.100196315553176,0.115223680513769,0,0,10.516214779372676,24.193854658645943,EGFR
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.1024676245623294,0.115223680513769,0,0,10.26791277258567,23.39244500807539,TP53
KEGG_2021_Human,cAMP signaling pathway,1/216,0.1029212666737852,0.115223680513769,0,0,10.219638242894057,23.237321299310643,RYR2
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.1038279318915281,0.115223680513769,0,0,10.12442396313364,22.93202530703912,EGFR
KEGG_2021_Human,Coronavirus disease,1/232,0.1101515314641288,0.1207685465450087,0,0,9.504088504088504,20.96505269691893,EGFR
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.1132982469579186,0.1227397675377452,0,0,9.221288515406162,20.081491241829127,EGFR
KEGG_2021_Human,Parkinson disease,1/249,0.1177761832071194,0.1260409145451105,0,0,8.844982078853047,18.919144312963567,TP53
KEGG_2021_Human,Endocytosis,1/252,0.1191155895701044,0.1260409145451105,0,0,8.73793714032758,18.59136734336237,EGFR
KEGG_2021_Human,Prion disease,1/273,0.1284403066027919,0.1343456080557938,0,0,8.054738562091503,16.53066764065327,RYR2
KEGG_2021_Human,Huntington disease,1/306,0.1429140468946369,0.1477861166751359,0,0,7.171220400728598,13.951694627889625,TP53
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.1678294128874498,0.1716008603680666,0,0,6.007652280379553,10.722501134785851,TP53
KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.213702443105364,0.2160769146954236,0,0,4.574777308954524,7.0596622304501,RYR2
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.222918002488122,0.222918002488122,0,0,4.357925329756315,6.541033588715679,TP53
Reactome_2022,Disease R-HSA-1643685,6/1736,6.551845018949391e-05,0.0129726531375197,0,0,15.832369942196532,152.51605004879178,MUC16;ATRX;PTEN;NF1;TP53;EGFR
Reactome_2022,Ovarian Tumor Domain Proteases R-HSA-5689896,2/39,0.00016508979842508767,0.0160510107697749,0,0,134.81756756756758,1174.129027010432,PTEN;TP53
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,3/268,0.0002662938774919059,0.0160510107697749,0,0,31.90026954177897,262.5682493741505,PTEN;TP53;EGFR
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,3/306,0.0003929785762540726,0.0160510107697749,0,0,27.845827439886847,218.36016939082864,PTEN;TP53;EGFR
Reactome_2022,Regulation Of PTEN Gene Transcription R-HSA-8943724,2/61,0.00040532855479229646,0.0160510107697749,0,0,84.45338983050847,659.6495991492784,PTEN;TP53
Reactome_2022,TP53 Regulates Metabolic Genes R-HSA-5628897,2/81,0.0007138146207120215,0.0235558824834967,0,0,63.00949367088607,456.4966782194373,PTEN;TP53
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,3/424,0.001016087580336,0.0287407629866494,0,0,19.920936545639638,137.29102547110358,PTEN;NF1;EGFR
Reactome_2022,PI3K/AKT Signaling In Cancer R-HSA-2219528,2/105,0.0011952352797267,0.0295820731732373,0,0,48.26941747572816,324.82480811164004,PTEN;EGFR
Reactome_2022,Negative Regulation Of PI3K/AKT Network R-HSA-199418,2/113,0.0013822943268056,0.0304104751897232,0,0,44.77252252252252,294.7827630862282,PTEN;EGFR
Reactome_2022,PTEN Regulation R-HSA-6807070,2/139,0.0020805863688292,0.0363095926201719,0,0,36.22810218978102,223.71235369917136,PTEN;TP53
Reactome_2022,Activation Of NOXA And Translocation To Mitochondria R-HSA-111448,1/5,0.0024977078641967,0.0363095926201719,0,0,555.1666666666666,3326.7706415121643,TP53
Reactome_2022,PTK6 Promotes HIF1A Stabilization R-HSA-8857538,1/6,0.0029965781728721,0.0363095926201719,0,0,444.1111111111111,2580.4117942926405,EGFR
Reactome_2022,RAS Signaling Downstream Of NF1 Loss-Of-Function Variants R-HSA-6802953,1/6,0.0029965781728721,0.0363095926201719,0,0,444.1111111111111,2580.4117942926405,NF1
Reactome_2022,RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,1/7,0.0034952242970889,0.0363095926201719,0,0,370.0740740740741,2093.271349114512,TP53
Reactome_2022,Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303,1/8,0.0039936462613403,0.0363095926201719,0,0,317.1904761904762,1751.8590547314027,EGFR
Reactome_2022,EGFR Transactivation By Gastrin R-HSA-2179392,1/8,0.0039936462613403,0.0363095926201719,0,0,317.1904761904762,1751.8590547314027,EGFR
Reactome_2022,Ub-specific Processing Proteases R-HSA-5689880,2/201,0.0042887731676215,0.0363095926201719,0,0,24.86306532663317,135.54732981615194,PTEN;TP53
Reactome_2022,Signaling By NOTCH R-HSA-157118,2/203,0.0043724275862743,0.0363095926201719,0,0,24.61318407960199,133.70956972525602,TP53;EGFR
Reactome_2022,PI5P Regulates TP53 Acetylation R-HSA-6811555,1/9,0.0044918441075108,0.0363095926201719,0,0,277.52777777777777,1500.1741678966396,TP53
Reactome_2022,Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,1/9,0.0044918441075108,0.0363095926201719,0,0,277.52777777777777,1500.1741678966396,TP53
Reactome_2022,Regulation Of PTEN Localization R-HSA-8948747,1/9,0.0044918441075108,0.0363095926201719,0,0,277.52777777777777,1500.1741678966396,PTEN
Reactome_2022,EGFR Interacts With Phospholipase C-gamma R-HSA-212718,1/9,0.0044918441075108,0.0363095926201719,0,0,277.52777777777777,1500.1741678966396,EGFR
Reactome_2022,Regulation Of PTEN mRNA Translation R-HSA-8943723,1/11,0.0054875676690229,0.0363095926201719,0,0,222.0,1155.5699775561973,PTEN
Reactome_2022,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,1/12,0.0059850935124877,0.0363095926201719,0,0,201.8080808080808,1032.9512945731403,TP53
Reactome_2022,GRB2 Events In EGFR Signaling R-HSA-179812,1/12,0.0059850935124877,0.0363095926201719,0,0,201.8080808080808,1032.9512945731403,EGFR
Reactome_2022,TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211,1/12,0.0059850935124877,0.0363095926201719,0,0,201.8080808080808,1032.9512945731403,TP53
Reactome_2022,TFAP2 (AP-2) Family Regulates Transcription Of Growth Factors And Their Receptors R-HSA-8866910,1/13,0.006482395492037,0.0363095926201719,0,0,184.9814814814815,932.059746399125,EGFR
Reactome_2022,SHC1 Events In EGFR Signaling R-HSA-180336,1/13,0.006482395492037,0.0363095926201719,0,0,184.9814814814815,932.059746399125,EGFR
Reactome_2022,ERBB2 Activates PTK6 Signaling R-HSA-8847993,1/13,0.006482395492037,0.0363095926201719,0,0,184.9814814814815,932.059746399125,EGFR
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,1/14,0.0069794736802133,0.0363095926201719,0,0,170.74358974358975,847.7046615380154,TP53
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,1/14,0.0069794736802133,0.0363095926201719,0,0,170.74358974358975,847.7046615380154,TP53
Reactome_2022,Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759,1/14,0.0069794736802133,0.0363095926201719,0,0,170.74358974358975,847.7046615380154,TP53
Reactome_2022,Constitutive Signaling By EGFRvIII R-HSA-5637810,1/14,0.0069794736802133,0.0363095926201719,0,0,170.74358974358975,847.7046615380154,EGFR
Reactome_2022,GRB2 Events In ERBB2 Signaling R-HSA-1963640,1/15,0.0074763281564485,0.0363095926201719,0,0,158.53968253968253,776.212425317664,EGFR
Reactome_2022,Signaling By ERBB2 ECD Mutants R-HSA-9665348,1/15,0.0074763281564485,0.0363095926201719,0,0,158.53968253968253,776.212425317664,EGFR
Reactome_2022,ERBB2 Regulates Cell Motility R-HSA-6785631,1/15,0.0074763281564485,0.0363095926201719,0,0,158.53968253968253,776.212425317664,EGFR
Reactome_2022,RAF/MAP Kinase Cascade R-HSA-5673001,2/271,0.0076617108174687,0.0363095926201719,0,0,18.32806691449814,89.2855440926968,NF1;EGFR
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,1/16,0.0079729589968486,0.0363095926201719,0,0,147.96296296296296,714.9125872208035,EGFR
Reactome_2022,MAPK1/MAPK3 Signaling R-HSA-5684996,2/277,0.0079925606433446,0.0363095926201719,0,0,17.922727272727272,86.55322475003447,NF1;EGFR
Reactome_2022,Deubiquitination R-HSA-5688426,2/279,0.0081042758389005,0.0363095926201719,0,0,17.791516245487365,85.6726174976294,PTEN;TP53
Reactome_2022,Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584,1/17,0.0084693662805775,0.0363095926201719,0,0,138.70833333333334,661.8190142974174,TP53
Reactome_2022,GAB1 Signalosome R-HSA-180292,1/17,0.0084693662805775,0.0363095926201719,0,0,138.70833333333334,661.8190142974174,EGFR
Reactome_2022,Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907,1/17,0.0084693662805775,0.0363095926201719,0,0,138.70833333333334,661.8190142974174,EGFR
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,1/18,0.0089655500933473,0.0363095926201719,0,0,130.54248366013073,615.425022203049,TP53
Reactome_2022,Regulation Of NF-kappa B Signaling R-HSA-9758274,1/18,0.0089655500933473,0.0363095926201719,0,0,130.54248366013073,615.425022203049,TP53
Reactome_2022,Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382,1/18,0.0089655500933473,0.0363095926201719,0,0,130.54248366013073,615.425022203049,EGFR
Reactome_2022,Defective GALNT12 Causes CRCS1 R-HSA-5083636,1/18,0.0089655500933473,0.0363095926201719,0,0,130.54248366013073,615.425022203049,MUC16
Reactome_2022,Defective GALNT3 Causes HFTC R-HSA-5083625,1/18,0.0089655500933473,0.0363095926201719,0,0,130.54248366013073,615.425022203049,MUC16
Reactome_2022,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,1/19,0.0094615105123957,0.0363095926201719,0,0,123.28395061728396,574.5677163606151,TP53
Reactome_2022,Defective C1GALT1C1 Causes TNPS R-HSA-5083632,1/19,0.0094615105123957,0.0363095926201719,0,0,123.28395061728396,574.5677163606151,MUC16
Reactome_2022,SUMOylation Of Transcription Factors R-HSA-3232118,1/19,0.0094615105123957,0.0363095926201719,0,0,123.28395061728396,574.5677163606151,TP53
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,1/20,0.0099572476243861,0.0363095926201719,0,0,116.78947368421052,538.3357753631753,TP53
Reactome_2022,Signal Transduction By L1 R-HSA-445144,1/20,0.0099572476243861,0.0363095926201719,0,0,116.78947368421052,538.3357753631753,EGFR
Reactome_2022,MAPK Family Signaling Cascades R-HSA-5683057,2/318,0.0104238884250172,0.0363095926201719,0,0,15.564873417721518,71.03271462105859,NF1;EGFR
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115,1/21,0.0104527615118676,0.0363095926201719,0,0,110.94444444444444,506.0053047065427,TP53
Reactome_2022,SHC1 Events In ERBB2 Signaling R-HSA-1250196,1/21,0.0104527615118676,0.0363095926201719,0,0,110.94444444444444,506.0053047065427,EGFR
Reactome_2022,Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,1/21,0.0104527615118676,0.0363095926201719,0,0,110.94444444444444,506.0053047065427,EGFR
Reactome_2022,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/24,0.0119379646683197,0.0382021363792275,0,0,96.45893719806764,427.1232267263204,TP53
Reactome_2022,Signaling By EGFR In Cancer R-HSA-1643713,1/24,0.0119379646683197,0.0382021363792275,0,0,96.45893719806764,427.1232267263204,EGFR
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,1/24,0.0119379646683197,0.0382021363792275,0,0,96.45893719806764,427.1232267263204,EGFR
Reactome_2022,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,1/24,0.0119379646683197,0.0382021363792275,0,0,96.45893719806764,427.1232267263204,EGFR
Reactome_2022,Termination Of O-glycan Biosynthesis R-HSA-977068,1/25,0.0124325865055395,0.0382021363792275,0,0,92.4351851851852,405.55330287566494,MUC16
Reactome_2022,NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507,1/25,0.0124325865055395,0.0382021363792275,0,0,92.4351851851852,405.55330287566494,EGFR
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,1/25,0.0124325865055395,0.0382021363792275,0,0,92.4351851851852,405.55330287566494,EGFR
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,2/354,0.0127981399038309,0.0382021363792275,0,0,13.947443181818182,60.78930959077482,PTEN;TP53
Reactome_2022,Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,1/26,0.0129269855424658,0.0382021363792275,0,0,88.73333333333333,385.85142072369416,PTEN
Reactome_2022,Pyroptosis R-HSA-5620971,1/26,0.0129269855424658,0.0382021363792275,0,0,88.73333333333333,385.85142072369416,TP53
Reactome_2022,Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,1/29,0.0144088467211374,0.0407564521540744,0,0,79.21428571428571,335.8616722924233,TP53
Reactome_2022,Dectin-2 Family R-HSA-5621480,1/29,0.0144088467211374,0.0407564521540744,0,0,79.21428571428571,335.8616722924233,MUC16
Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,1/29,0.0144088467211374,0.0407564521540744,0,0,79.21428571428571,335.8616722924233,EGFR
Reactome_2022,Activation Of BH3-only Proteins R-HSA-114452,1/30,0.0149023554252653,0.0415586813267964,0,0,76.47892720306514,321.6884165593148,TP53
Reactome_2022,EGFR Downregulation R-HSA-182971,1/31,0.0153956417644848,0.0423380148523333,0,0,73.92592592592592,308.5424792813036,EGFR
Reactome_2022,Oncogene Induced Senescence R-HSA-2559585,1/33,0.0163815476907073,0.0444321430515074,0,0,69.29861111111111,284.9281499305533,TP53
Reactome_2022,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,1/36,0.0178587410119325,0.0471470762715018,0,0,63.34920634920635,254.99716559529236,EGFR
Reactome_2022,Regulation Of TP53 Degradation R-HSA-6804757,1/36,0.0178587410119325,0.0471470762715018,0,0,63.34920634920635,254.99716559529236,TP53
Reactome_2022,Regulation Of TP53 Expression And Degradation R-HSA-6806003,1/37,0.0183506949831896,0.0472253238707096,0,0,61.58641975308642,246.2279153977221,TP53
Reactome_2022,Generic Transcription Pathway R-HSA-212436,3/1190,0.0183897916662948,0.0472253238707096,0,0,6.788903598507642,27.12818429795664,PTEN;TP53;EGFR
Reactome_2022,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,1/38,0.0188424272009397,0.0472253238707096,0,0,59.91891891891892,237.97662594437213,TP53
Reactome_2022,Diseases Of Mitotic Cell Cycle R-HSA-9675126,1/38,0.0188424272009397,0.0472253238707096,0,0,59.91891891891892,237.97662594437213,ATRX
Reactome_2022,Transcriptional Regulation By VENTX R-HSA-8853884,1/39,0.0193339377497966,0.0478514959307467,0,0,58.33918128654971,230.20018425524987,TP53
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,1/44,0.0217881685512207,0.0532599675696507,0,0,51.542635658914726,197.22213203300183,TP53
Reactome_2022,TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,1/45,0.0222783509374741,0.0537940668978035,0,0,50.36868686868687,191.60953052295557,TP53
Reactome_2022,Inhibition Of DNA Recombination At Telomere R-HSA-9670095,1/48,0.0237475721230066,0.0539202294673836,0,0,47.14657210401892,176.3411440394006,ATRX
Reactome_2022,Inositol Phosphate Metabolism R-HSA-1483249,1/48,0.0237475721230066,0.0539202294673836,0,0,47.14657210401892,176.3411440394006,PTEN
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,3/1312,0.0238535521291846,0.0539202294673836,0,0,6.116228309505621,22.849141110560645,PTEN;TP53;EGFR
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,1/49,0.0242368708211977,0.0539202294673836,0,0,46.16203703703704,171.71724838044534,TP53
Reactome_2022,Signaling By EGFR R-HSA-177929,1/49,0.0242368708211977,0.0539202294673836,0,0,46.16203703703704,171.71724838044534,EGFR
